fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.0384029973071069,other,11.775798421855882,0.3178206583427923,0.9577284809659999,0.11369883422400007,0.15217391304347827,14,actual,134,actual,0.6548672566371682,2,1,2,1,1,0,0,104677,1437,135923,932914,200,3639,2074,44,0.57,226,148,14,0.61,221,677495,327448,205138,2021-04-01,https://covidactnow.org/us/montana-mt,0.30637606687263397,0.19193695978023503,0,522897
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.050625117670705204,other,17.78617115794049,0.13026497166487977,1.03233196613,0.10000000000000009,0.2690951821386604,229,actual,1632,actual,0.7494965767217077,2,1,2,1,1,0,1,915273,12137,904748,9146984,1215,29396,18059,976,0.64,2483,1861,229,0.77562210038,2040,6053820,3026774,1724042,2021-04-01,https://covidactnow.org/us/north_carolina-nc,0.28859170082924585,0.16438102517104172,21,4691515
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.038538948937756244,other,20.452029212471277,0.6416131989000916,1.175459615,0.13951889917000004,0.0761904761904762,8,actual,89,actual,0.5,2,1,2,1,2,0,0,103123,1498,80041,1192456,500,3991,1687,79,0.55,194,97,8,0.67,211,464690,246500,154549,2021-04-01,https://covidactnow.org/us/north_dakota-nd,0.3234644950148413,0.20280370888457896,0,413386
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.0748644595685777,other,16.823160958214164,0.6145741878841088,1.0730794544600002,0.09999999999999987,0.14227642276422764,35,actual,329,actual,0.6330434782608696,2,1,2,1,1,0,0,209912,2284,296046,1563998,1000,7482,2856,123,0.53,575,364,35,0.638330757342,438,1152650,595579,361958,2021-04-01,https://covidactnow.org/us/nebraska-ne,0.3078869607652574,0.1871156446830245,1,940837
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.03488523452076193,other,27.894583061085353,0.07382297551789077,1.12213567331,0.09999999999999987,0.13559322033898305,16,actual,164,actual,0.6382978723404256,3,1,3,2,2,0,0,84176,1238,69414,1597493,140,3472,2244,87,0.68,282,180,16,0.56,462,788755,414738,239872,2021-04-01,https://covidactnow.org/us/new_hampshire-nh,0.3050192283507304,0.1764139585544281,1,614984
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.0984945609199991,other,49.659567548736774,0.13602798289933926,1.05380639779,0.09999999999999987,0.19071644803229063,378,actual,1050,actual,0.470976253298153,3,1,3,1,1,0,0,908812,24528,843576,10607755,3000,30568,17496,2257,0.69,3032,1428,378,0.176470588235,3668,5236605,2951563,1659604,2021-04-01,https://covidactnow.org/us/new_jersey-nj,0.332301268043129,0.18684626201421048,42,4381035
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.023014721127928676,other,9.381513023440906,0.38126361655773416,0.9681814017470001,0.10414119192299998,0.1949685534591195,31,actual,279,actual,0.7077625570776256,1,0,1,1,1,0,1,191652,3939,139852,1813415,375,5482,2984,131,0.59,438,310,31,0.59,275,1442775,797952,493018,2021-04-01,https://covidactnow.org/us/new_mexico-nm,0.3805517760389617,0.23512551571921217,5,1258002
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.05259615161432584,other,9.50322924274893,0.4099560761346998,0.894517804061,0.10000000000000009,0.19195046439628483,62,actual,526,actual,0.6925795053003534,1,1,1,1,0,0,0,303811,5249,419249,2609753,600,9585,6264,315,0.68,849,588,62,0.79,278,1704450,853774,492187,2021-04-01,https://covidactnow.org/us/nevada-nv,0.27718531139331903,0.15979288062033223,10,1348526
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.053691302093310855,other,41.61999660921427,0.23763144893782198,1.06755962604,0.10000000000000009,0.3414285714285714,956,actual,2775,actual,0.6692376681614349,3,1,3,1,1,0,0,1871595,49790,2004052,33798865,9620,62862,40191,5483,0.74,5575,3731,956,0.63,7683,11913695,6051597,3285602,2021-04-01,https://covidactnow.org/us/new_york-ny,0.311079138672863,0.16889463065399699,94,9261975
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.03780212349319797,other,15.760714805123698,0.18010235732009927,1.06223453549,0.09999999999999987,0.14514145141451415,236,actual,2499,actual,0.6630303030303031,2,1,2,1,1,0,0,1017566,18609,888537,10045678,1659,48487,23011,1377,0.61,4125,2735,236,0.732111692845,1989,6921325,3399897,1970300,2021-04-01,https://covidactnow.org/us/ohio-oh,0.2908604597445483,0.16855874276034938,0,5295592
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.03969782254480817,other,8.047280898155975,0.43965903992821886,0.8795860742910001,0.09999999999999998,0.2222222222222222,80,actual,724,actual,0.7416974169741697,1,1,1,1,0,0,1,438364,4953,199725,1303625,700,15316,7583,378,0.55,1084,804,80,0.8300653594769999,390,2677545,1224792,704689,2021-04-01,https://covidactnow.org/us/oklahoma-ok,0.30952766649035335,0.1780879869981357,103,1930169
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.05957786472304733,other,8.643768650615923,0.35987460815047023,1.06419305646,0.10000000000000009,0.08307692307692308,27,actual,465,actual,0.6227848101265823,1,1,1,1,1,0,0,165013,2396,259545,3813675,656,9401,4881,155,0.66,790,492,27,0.755994358251,431,2449855,1187225,703262,2021-04-01,https://covidactnow.org/us/oregon-or,0.281483885789939,0.1667391779051183,1,1854126
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.08287346168014391,other,31.805325607718345,0.07407199494772297,1.1454570689,0.09999999999999987,0.324582338902148,408,actual,2428,actual,0.769606512890095,3,1,3,2,2,0,1,1030415,25150,1071147,11181812,1508,46557,25884,2264,0.64,3685,2836,408,0.775986525505,4457,7659555,4071410,2128284,2021-04-01,https://covidactnow.org/us/pennsylvania-pa,0.31802948744917686,0.16624635437508972,44,6056762
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.043809523809523805,other,11.200643697056941,,1.18376722789,0.09999999999999987,0.07456140350877193,17,actual,465,actual,0.6955266955266955,2,1,2,4,2,0,0,141085,2118,26910,363888,10,8813,5793,193,0.5756390801914323,693,482,17,0.6750265957446808,365,,,,2021-04-01,https://covidactnow.org/us/puerto_rico-pr,,,5,
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.02333333333333333,other,34.00972041501568,0.11102299762093577,1.0223799061399999,0.10000000000000009,0.3617021276595745,17,actual,121,actual,0.8214285714285714,3,0,3,1,1,0,2,137329,2619,131349,2411341,200,4180,2293,165,0.59,168,138,17,0.7,564,652615,349215,221888,2021-04-01,https://covidactnow.org/us/rhode_island-ri,0.3296468342708481,0.2094545674231919,1,559186
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.0697051993545086,other,21.37843130759032,0.1408176508760545,0.9629192668880001,0.10000000000199993,0.2294455066921606,120,actual,816,actual,0.6990291262135923,2,1,2,1,1,0,0,551630,9146,501791,4089870,775,15463,8801,531,0.63,1339,936,120,0.73875083949,961,2868095,1403522,774353,2021-04-01,https://covidactnow.org/us/south_carolina-sc,0.2725966134456099,0.15039736136052614,20,2150462
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.10251564899019723,other,22.42995000656427,0.35277177825773937,1.05542228872,0.10814563665999999,0.11382113821138211,14,actual,115,actual,0.542016806722689,2,2,2,1,1,0,0,117759,1935,62201,499928,350,3379,1632,74,0.47,238,129,14,0.47,264,618745,308289,198087,2021-04-01,https://covidactnow.org/us/south_dakota-sd,0.34848342694755835,0.22391339487870468,0,496601
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.06845007663501193,other,15.80404473931568,0.22718729318332234,0.986602909075,0.09999999999499998,0.25989304812834224,243,actual,1459,actual,0.7109440267335004,2,1,2,1,1,0,1,797531,11798,747356,5659951,1226,25754,12935,832,0.62,2394,1702,243,0.8780727630290001,1160,3804790,1711847,942765,2021-04-01,https://covidactnow.org/us/tennessee-tn,0.2506667717062122,0.13804963821393335,9,2655309
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.05161367679798821,other,13.558576031639015,0.18934593023255814,0.94576059302,0.09999999999999998,0.3390137781000725,935,actual,4783,actual,0.7582548733589709,2,1,2,1,1,0,1,2754813,48537,2996971,19361580,3722,96942,50071,3823,0.62,7541,5718,935,0.63,4166,16084645,7476870,3973093,2021-04-01,https://covidactnow.org/us/texas-tx,0.25785972842142646,0.13702266884044667,119,11604088
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.04026944394486862,other,12.962472639112196,0.5775180474389825,0.9324575163950001,0.10000000000499998,0.1792452830188679,57,actual,306,actual,0.5817307692307693,2,1,2,1,1,0,0,385700,2122,480183,3201968,1200,7404,3596,146,0.56,624,363,57,0.58,514,1627020,814168,365896,2021-04-01,https://covidactnow.org/us/utah-ut,0.25395466815223405,0.11413000419843304,4,1327487
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.06042506548758059,other,17.192025129679536,0.21084501557632399,1.01266664046,0.10000000000000009,0.23952095808383234,200,actual,1146,actual,0.679454820797577,2,1,2,1,1,0,0,618976,10252,880682,6113163,1547,22998,13391,1023,0.65,1981,1346,200,0.52701127089,1035,4907455,2671921,1457374,2021-04-01,https://covidactnow.org/us/virginia-va,0.3130355635082061,0.170742282923862,10,4056991
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.025760210632384734,other,28.549038066834054,0.059502806736166806,1.11533152383,0.12700510961,0.10810810810810811,4,actual,64,actual,0.6732673267326733,3,0,3,2,2,0,0,19275,227,27246,1351983,53,1703,845,26,0.69,101,68,4,0.5,166,417840,209145,117656,2021-04-01,https://covidactnow.org/us/vermont-vt,0.3351741777499283,0.18855460593055326,2,328451
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.05451450054975585,other,12.57685808210681,0.4431384248210024,1.09232703477,0.10000000000000009,0.15865384615384615,99,actual,816,actual,0.6354166666666666,2,1,2,1,1,0,0,366907,5309,249513,4123679,2122,17724,9905,417,0.7,1440,915,99,0.67,1091,4495070,2272698,1365670,2021-04-01,https://covidactnow.org/us/washington-wa,0.2984543577959664,0.17934198156165818,7,3586736
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.02930646732010117,other,11.63480035031005,0.17714044706874735,1.0553704299200002,0.09999999999999987,0.08944099378881988,72,actual,806,actual,0.5450031036623215,2,0,2,1,1,0,0,635650,7316,700266,7631941,600,19111,8620,289,0.56,1611,878,72,0.58,727,3355325,1850625,1079684,2021-04-01,https://covidactnow.org/us/wisconsin-wi,0.31784387766353384,0.18543516336982094,23,2905410
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.06176328317930701,other,23.276151852658135,0.11890410958904109,1.0969951952299999,0.10000000000000009,0.345679012345679,84,actual,446,actual,0.7692307692307693,2,1,2,1,1,0,1,141738,2676,170943,2218632,248,8395,4800,270,0.58,689,530,84,0.67,416,1136405,537000,336742,2021-04-01,https://covidactnow.org/us/west_virginia-wv,0.29964059867856824,0.18789864893895422,2,874459
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.03263086335825969,other,10.441059478741831,0.16548463356973994,1.0316571568000001,0.19720525905999997,0.06862745098039216,7,actual,37,actual,0.31654676258992803,2,1,2,1,1,0,0,56310,700,49036,665781,50,1883,770,32,0.4,139,44,7,0.467213114754,74,378565,156910,105052,2021-04-01,https://covidactnow.org/us/wyoming-wy,0.27111457446018117,0.18151251211644226,5,262406
